ball_size_mean_r3_max,ball_size_mean_r3_mean,ball_size_mean_r3_min,ball_size_mean_r3_std,forman_mean_max,forman_mean_mean,forman_mean_min,forman_mean_std,forman_negative_mass_max,forman_negative_mass_mean,forman_negative_mass_min,forman_negative_mass_std,forman_positive_mass_max,forman_positive_mass_mean,forman_positive_mass_min,forman_positive_mass_std,n,node_count_max,node_count_mean,node_count_min,node_count_std,ollivier_mean_max,ollivier_mean_mean,ollivier_mean_min,ollivier_mean_std,ollivier_near_zero_mass_max,ollivier_near_zero_mass_mean,ollivier_near_zero_mass_min,ollivier_near_zero_mass_std,ollivier_negative_mass_max,ollivier_negative_mass_mean,ollivier_negative_mass_min,ollivier_negative_mass_std,task_id
13.51923076923077,12.056201731397696,11.21951219512195,0.49056271725109074,-1.2605042016806722,-1.5993480582105895,-1.8840579710144927,0.11888480001744323,0.9016393442622951,0.8142800520357331,0.6722689075630253,0.04185047645859325,0.2158273381294964,0.15661356805923196,0.0972972972972973,0.027247822686780256,50,208.0,115.3,55.0,37.36161131428889,-0.31862745098039214,-0.33565987583373447,-0.3508771929824562,0.008532014966201274,0.5972222222222222,0.5581430663040979,0.5073529411764706,0.02079131646595185,0.49264705882352944,0.4418569336959021,0.4027777777777778,0.020791316465951844,0
12.97037037037037,11.87238476303508,11.112676056338028,0.416736361895737,-1.3898305084745763,-1.6288303570375708,-1.9745222929936306,0.12321525355093353,0.8835616438356164,0.828268065258354,0.7542372881355932,0.03356709419475397,0.2094240837696335,0.14977243002444815,0.1095890410958904,0.022846809456171353,50,295.0,132.42,63.0,46.88926956138259,-0.3072289156626506,-0.32827138887232976,-0.3481675392670157,0.009964357699544327,0.589041095890411,0.5560849099167007,0.5032258064516129,0.017295145155706328,0.4967741935483871,0.4439150900832993,0.410958904109589,0.017295145155706328,1
14.756345177664974,12.736612777934717,11.936936936936936,0.5357848351315573,-1.4174757281553398,-1.6310310370819203,-1.9081632653061225,0.09332651681400077,0.824,0.7640271460245134,0.6601941747572816,0.03077403253162116,0.256,0.19796060195140253,0.15178571428571427,0.02140755387949029,50,197.0,116.72,78.0,26.27168818328963,-0.3388278388278388,-0.3503754474654851,-0.3647959183673469,0.006027208697362356,0.5803571428571429,0.5478886025346391,0.496,0.017506866080879983,0.504,0.45211139746536083,0.41964285714285715,0.017506866080879986,2
11.782608695652174,10.813101631347827,10.16,0.35043660357128564,-1.1020408163265305,-1.2825180660460516,-1.5,0.0894308182071996,0.8431372549019608,0.7576215390090338,0.68,0.03349798621543077,0.24,0.1881733327407768,0.14634146341463414,0.02277838061646514,50,89.0,62.56,42.0,11.536307901577523,-0.3020833333333333,-0.318049264579818,-0.33869731800766284,0.00805562528895223,0.5555555555555556,0.5167196383382177,0.4666666666666667,0.02109408298815775,0.5333333333333333,0.4832803616617823,0.4444444444444444,0.021094082988157743,3
14.152777777777779,12.064949128868534,11.0,0.4372157647254232,-1.2307692307692308,-1.4892550085585956,-1.7202797202797202,0.08786905121791468,0.8055555555555556,0.7481176245326097,0.671875,0.029663406536880963,0.2698412698412698,0.2085610719960667,0.1527777777777778,0.024268165953502518,50,152.0,90.68,43.0,22.016757254418735,-0.33012820512820507,-0.3414229683214886,-0.35547785547785543,0.00480124867243394,0.5714285714285714,0.5300055155825105,0.49295774647887325,0.01748029471501648,0.5070422535211268,0.4699944844174895,0.42857142857142855,0.01748029471501648,4
34.523809523809526,13.674415660121738,11.441717791411042,3.7131734292182927,-1.1743119266055047,-2.1222191667066994,-7.660377358490566,1.1240757050333736,0.91324200913242,0.7788265922005437,0.5621468926553672,0.06866633600181107,0.31932773109243695,0.1832318991972944,0.06944444444444445,0.05438436889541162,50,634.0,171.38,54.0,115.40206064018095,-0.20575022461814893,-0.3311386832380674,-0.3786750858535504,0.027373929411065145,0.7125748502994012,0.5507337178018221,0.42857142857142855,0.0578596207302397,0.5714285714285714,0.4492662821981779,0.2874251497005988,0.05785962073023971,5
28.991561181434598,14.455290844928259,11.121212121212121,3.3399377796925096,-1.3928571428571428,-2.3174222966119973,-18.152542372881356,2.308282040037823,0.8504672897196262,0.7607132406213241,0.6458333333333334,0.04436672213426737,0.2845528455284553,0.22010090704552443,0.125,0.030550440147928737,50,498.0,132.76,33.0,92.67784201199335,-0.2661125597566275,-0.34655831941444026,-0.37747839349262835,0.016873688935181177,0.597457627118644,0.5251241263268278,0.4583333333333333,0.029064631651213455,0.5416666666666666,0.4748758736731722,0.4025423728813559,0.029064631651213448,6
16.309644670050762,12.496336901099347,9.08695652173913,1.5177599052428474,-0.7272727272727273,-1.4655055111786777,-2.13265306122449,0.2873025149738508,0.7420924574209246,0.6464072185126978,0.5611510791366906,0.034295105219422764,0.3235294117647059,0.23754416486515254,0.13793103448275862,0.04631209716198103,50,412.0,127.4,23.0,65.10576011383324,-0.2803030303030303,-0.3428873545913423,-0.3685383244206773,0.014313732381042815,0.5344827586206896,0.48007966141266756,0.425531914893617,0.024269581102567408,0.574468085106383,0.5199203385873324,0.46551724137931033,0.024269581102567408,7
24.613861386138613,14.790323051145494,12.053380782918149,3.2981999693770154,-1.1928571428571428,-2.0220373422774767,-4.676616915422885,0.8555340067489139,0.845771144278607,0.6745991511775051,0.5118110236220472,0.09511069694533403,0.2803030303030303,0.17528035793357188,0.0945273631840796,0.048529004682187765,50,382.0,199.58,123.0,57.542711093586824,-0.25477375029613825,-0.34181292090414367,-0.36954365079365076,0.022626906385419896,0.6915422885572139,0.5301349155724762,0.42592592592592593,0.05519848862832863,0.5740740740740741,0.4698650844275239,0.30845771144278605,0.05519848862832862,8
17.255754475703323,13.054837645122356,11.543859649122806,1.0835633771166324,-1.3613053613053614,-1.6018762540187683,-2.517948717948718,0.21507347836329646,0.7909407665505227,0.7049332869361911,0.6153846153846154,0.03227839481949535,0.2838827838827839,0.23702874989801562,0.17421602787456447,0.026122878338757816,50,579.0,291.04,114.0,120.40979362161535,-0.3330565805658056,-0.3505805803915843,-0.3631995133819951,0.007611586165047325,0.5365853658536586,0.47565117536367724,0.4266666666666667,0.023761560004835702,0.5733333333333334,0.5243488246363228,0.4634146341463415,0.0237615600048357,9
51.97222222222222,18.842118565807986,12.773584905660377,6.051280989570055,-1.5594202898550724,-2.87371759890868,-11.033204633204633,1.4111514260398266,0.8705547652916074,0.7183101640139323,0.6101449275362318,0.04676689099851127,0.2972972972972973,0.22333106476729891,0.12091038406827881,0.032615335136531684,50,1296.0,604.24,183.0,228.71812870867933,-0.32862663906142164,-0.35652088528604703,-0.36882036097722365,0.007839109933974955,0.610705596107056,0.5128255726855678,0.4637554585152838,0.03295590112336173,0.5362445414847161,0.4871744273144322,0.38929440389294406,0.032955901123361726,10
